Year,Month,Day,Hour,Min,Sec,Msec,P02S ECG,P02S G1,P02S G2,P02S G3
2018,11,27,18,24,32,292,-242.9666519165039,5733.0,7879.0,4294964317.0
2018,11,27,18,24,32,295,-242.93804168701172,,,
2018,11,27,18,24,32,299,-243.04676055908203,,,
2018,11,27,18,24,32,303,-243.06678771972656,,,
2018,11,27,18,24,32,307,-243.12114715576172,,,
2018,11,27,18,24,32,311,-243.25275421142578,5733.0,7859.0,4294964356.0
2018,11,27,18,24,32,315,-243.30711364746094,,,
2018,11,27,18,24,32,319,-243.3013916015625,,,
2018,11,27,18,24,32,323,-243.10970306396484,,,
2018,11,27,18,24,32,327,-242.74921417236328,,,
2018,11,27,18,24,32,331,-243.1182861328125,5850.0,7879.0,4294964356.0
2018,11,27,18,24,32,335,-243.13831329345703,,,
2018,11,27,18,24,32,338,-243.14403533935547,,,
2018,11,27,18,24,32,342,-243.33858489990234,,,
2018,11,27,18,24,32,346,-243.38722229003906,,,
2018,11,27,18,24,32,350,-243.4988021850586,5752.0,7918.0,4294964219.0
2018,11,27,18,24,32,354,-243.47877502441406,,,
2018,11,27,18,24,32,358,-243.52741241455078,,,
2018,11,27,18,24,32,362,-243.49021911621094,,,
2018,11,27,18,24,32,366,-243.69049072265625,,,
2018,11,27,18,24,32,370,-243.7448501586914,5693.0,7938.0,4294964278.0
2018,11,27,18,24,32,374,-243.87359619140625,,,
2018,11,27,18,24,32,378,-243.988037109375,,,
2018,11,27,18,24,32,381,-243.92223358154297,,,
2018,11,27,18,24,32,385,-243.87359619140625,,,
2018,11,27,18,24,32,389,-243.88504028320312,5713.0,7957.0,4294964298.0
2018,11,27,18,24,32,393,-244.05384063720703,,,
2018,11,27,18,24,32,397,-244.13394927978516,,,
2018,11,27,18,24,32,401,-244.1396713256836,,,
2018,11,27,18,24,32,405,-244.22550201416016,,,
2018,11,27,18,24,32,409,-244.21405792236328,5684.0,7820.0,4294964356.0
2018,11,27,18,24,32,413,-244.20833587646484,,,
2018,11,27,18,24,32,417,-244.26555633544922,,,
2018,11,27,18,24,32,420,-244.1110610961914,,,
